Removed Pin From Net: NetName=+5 Pin=J4-1
Removed Pin From Net: NetName=+3.3 Pin=J4-2
Removed Pin From Net: NetName=GND Pin=J4-5
Removed Pin From Net: NetName=VREF_TGT Pin=J?-4
Removed Pin From Net: NetName=GND Pin=J?-6
Removed Pin From Net: NetName=GND Pin=J?-8
Removed Pin From Net: NetName=TDI Pin=J?-9
Removed Pin From Net: NetName=\RESET Pin=J?-11
Removed Pin From Net: NetName=GND Pin=Q1-2
Removed Pin From Net: NetName=NetD1_K Pin=Q1-3
Removed Pin From Net: NetName=GND Pin=TP1-1
Removed Pin From Net: NetName=VREF_TGT Pin=TP2-1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J4
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J?
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=Q1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP2
Change Component Footprint: Designator=J4 Old Footprint=70543-0109 - slim New Footprint=FTDI_6_HDR_TTL-232R
Change Component Comment : Designator=J4 Old Comment=5 contacts Male header New Comment=FTDI_6_DEVICE
Change component parameters: Designator = "J4" ("J4"); Footprint = "70543-0109 - slim"; UniqueID = "\OOUNWCUD\QACFOZXW" ("\OOUNWCUD\QACFOZXW")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Pinout Reference"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet for Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.adam-tech.com/downloader.php?p=PH1-XX-UA.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Connector Header Through Hole 6 position 0.100" (2.54mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Generic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "FTDI_TTL_6PIN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.100""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2057-PH1-06-UA-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "732-5319-ND"; VariantName = "[No Variations]"
Added Component: Designator=C4(0603_CAP)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 0.01UF 16V 10%  Cer X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "CAP 0603 0.01UF 16V 10% X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "0.01UF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.01UF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vol"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C5(0603_CAP)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 0.01UF 16V 10%  Cer X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "CAP 0603 0.01UF 16V 10% X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "0.01UF"; VariantName = "[No Variations]"
